<header>
RTComments=
DataPeriod=10000
TimeMeasure=c
</header>
<table>
key	event	time	dur	tmofday
Reset				ВН 19.01 м 1
Num0	Центр	4.26	ON	0:04
Num0	Центр	6.25	OFF	0:06
Num1	Рукав А	6.25	ON	0:06
Num1	Рукав А	14.21	OFF	0:14
Num0	Центр	14.21	ON	0:14
Num0	Центр	14.84	OFF	0:14
Num2	Рукав В	14.84	ON	0:14
Num2	Рукав В	23.85	OFF	0:23
Num0	Центр	23.85	ON	0:23
Num0	Центр	35.9	OFF	0:35
Num1	Рукав А	35.9	ON	0:35
Num1	Рукав А	47.85	OFF	0:47
Num0	Центр	47.85	ON	0:47
Num0	Центр	50.06	OFF	0:50
Num3	Рукав С	50.06	ON	0:50
Num3	Рукав С	59.15	OFF	0:59
Num0	Центр	59.15	ON	0:59
Num0	Центр	61.13	OFF	01:01
Num1	Рукав А	61.13	ON	01:01
Num1	Рукав А	74.26	OFF	01:14
Num0	Центр	74.26	ON	01:14
Num0	Центр	80.29	OFF	01:20
Num2	Рукав В	80.29	ON	01:20
Num2	Рукав В	87.29	OFF	01:27
Num0	Центр	87.29	ON	01:27
Num0	Центр	88.17	OFF	01:28
Num3	Рукав С	88.17	ON	01:28
Num3	Рукав С	98.5	OFF	01:38
Num0	Центр	98.5	ON	01:38
Num0	Центр	99.16	OFF	01:39
Num1	Рукав А	99.16	ON	01:39
Num1	Рукав А	128.97	OFF	02:08
Num0	Центр	128.97	ON	02:08
Num0	Центр	140.2	OFF	02:20
Num2	Рукав В	140.2	ON	02:20
Num2	Рукав В	147.7	OFF	02:27
Num0	Центр	147.7	ON	02:27
Num0	Центр	156.27	OFF	02:36
Num3	Рукав С	156.27	ON	02:36
Num3	Рукав С	170.44	OFF	02:50
Num0	Центр	170.44	ON	02:50
Num0	Центр	180.69	OFF	03:00
Num1	Рукав А	180.69	ON	03:00
Num1	Рукав А	216.96	OFF	03:36
Num0	Центр	216.96	ON	03:36
Num0	Центр	223.19	OFF	03:43
Num2	Рукав В	223.19	ON	03:43
Num2	Рукав В	227.14	OFF	03:47
Num0	Центр	227.14	ON	03:47
Num0	Центр	229.84	OFF	03:49
Num3	Рукав С	229.84	ON	03:49
Num3	Рукав С	239.17	OFF	03:59
Num0	Центр	239.17	ON	03:59
Num0	Центр	239.76	OFF	04:00
Num2	Рукав В	239.76	ON	04:00
Num2	Рукав В	242.68	OFF	04:02
Num0	Центр	242.68	ON	04:02
Num0	Центр	244.25	OFF	04:04
Num1	Рукав А	244.25	ON	04:04
Num1	Рукав А	255.78	OFF	04:15
Num0	Центр	255.78	ON	04:15
Num0	Центр	264.32	OFF	04:24
Num3	Рукав С	264.32	ON	04:24
Num3	Рукав С	269.92	OFF	04:29
Num0	Центр	269.92	ON	04:29
Num0	Центр	284.36	OFF	04:44
Num2	Рукав В	284.36	ON	04:44
Exit		300		
Reset				ВН 19.01 м 2
Num0	Центр	0.26	ON	0:00
Num0	Центр	16.46	OFF	0:16
Num2	Рукав В	16.46	ON	0:16
Num2	Рукав В	34.03	OFF	0:34
Num0	Центр	34.03	ON	0:34
Num0	Центр	37.71	OFF	0:37
Num3	Рукав С	37.71	ON	0:37
Num3	Рукав С	47.93	OFF	0:47
Num0	Центр	47.93	ON	0:47
Num0	Центр	50.27	OFF	0:50
Num1	Рукав А	50.27	ON	0:50
Num1	Рукав А	70.55	OFF	01:10
Num0	Центр	70.55	ON	01:10
Num0	Центр	77.84	OFF	01:17
Num1	Рукав А	77.84	ON	01:17
Num1	Рукав А	89.78	OFF	01:29
Num0	Центр	89.78	ON	01:29
Num0	Центр	92.72	OFF	01:32
Num2	Рукав В	92.72	ON	01:32
Num2	Рукав В	121.42	OFF	02:01
Num0	Центр	121.42	ON	02:01
Num0	Центр	122.08	OFF	02:02
Num3	Рукав С	122.08	ON	02:02
Num3	Рукав С	144.06	OFF	02:24
Num0	Центр	144.06	ON	02:24
Num0	Центр	150.09	OFF	02:30
Num1	Рукав А	150.09	ON	02:30
Num1	Рукав А	178.68	OFF	02:58
Num0	Центр	178.68	ON	02:58
Num0	Центр	187.35	OFF	03:07
Num3	Рукав С	187.35	ON	03:07
Num3	Рукав С	204.66	OFF	03:24
Num0	Центр	204.66	ON	03:24
Num0	Центр	216.06	OFF	03:36
Num2	Рукав В	216.06	ON	03:36
Num2	Рукав В	239.54	OFF	04:00
Num0	Центр	239.54	ON	04:00
Num0	Центр	242.32	OFF	04:02
Num2	Рукав В	242.32	ON	04:02
Num2	Рукав В	253.13	OFF	04:13
Num0	Центр	253.13	ON	04:13
Num0	Центр	254.41	OFF	04:14
Num1	Рукав А	254.41	ON	04:14
Num1	Рукав А	271.72	OFF	04:31
Num0	Центр	271.72	ON	04:31
Num0	Центр	294.69	OFF	04:54
Num3	Рукав С	294.69	ON	04:54
Exit		300		
Reset				ВН 19.01 м 3
Num0	Центр	0.39	ON	0:00
Num0	Центр	6.67	OFF	0:06
Num2	Рукав В	6.67	ON	0:06
Num2	Рукав В	18.39	OFF	0:18
Num0	Центр	18.39	ON	0:18
Num0	Центр	19.88	OFF	0:19
Num3	Рукав С	19.88	ON	0:19
Num3	Рукав С	47.73	OFF	0:47
Num0	Центр	47.73	ON	0:47
Num0	Центр	50.18	OFF	0:50
Num1	Рукав А	50.18	ON	0:50
Num1	Рукав А	70.04	OFF	01:10
Num0	Центр	70.04	ON	01:10
Num0	Центр	73.03	OFF	01:13
Num2	Рукав В	73.03	ON	01:13
Num2	Рукав В	88.94	OFF	01:28
Num0	Центр	88.94	ON	01:28
Num0	Центр	90.5	OFF	01:30
Num1	Рукав А	90.5	ON	01:30
Num1	Рукав А	104.13	OFF	01:44
Num0	Центр	104.13	ON	01:44
Num0	Центр	105.37	OFF	01:45
Num3	Рукав С	105.37	ON	01:45
Num3	Рукав С	114.6	OFF	01:54
Num0	Центр	114.6	ON	01:54
Num0	Центр	115.94	OFF	01:55
Num2	Рукав В	115.94	ON	01:55
Num2	Рукав В	125.44	OFF	02:05
Num0	Центр	125.44	ON	02:05
Num0	Центр	126.15	OFF	02:06
Num1	Рукав А	126.15	ON	02:06
Num1	Рукав А	136.79	OFF	02:16
Num0	Центр	136.79	ON	02:16
Num0	Центр	138.01	OFF	02:18
Num3	Рукав С	138.01	ON	02:18
